id	score	sentence1	sentence2
78	4.090644	In the United States, 20.7 percent of all women smoke.	Nevada is where the most women smoke, 28 percent.
79	2.6574855	A man and a woman watch two dogs.	A man in a maroon bathing suit swings on a rope on a lake.
80	3.8738632	The man is throwing knives at a tree.	A man is throwing blades into a close target outside.
81	4.605303	Crowd of people walking past a giant mushroom.	A group of four people walking past a giant mushroom.
82	2.8052177	Vietnamese citizens need a visa to visit the USA.	Nepalese citizens require a visa to visit the UK.
83	3.3783536	Two women in a clothing store.	Two women in a sailboat.
84	3.745289	Brendsel and chief financial officer Vaughn Clarke resigned June 9.	The company's chief executive retired and chief financial officer resigned.
85	4.621604	I have few suggestions for you:	I have two suggestions for you:
86	4.438499	Taylor's aides warn an abrupt departure could trigger more chaos, a view shared by many in Liberia and, in private, even by mediators.	His aides warn an abrupt departure could trigger more bloodshed, a view shared by many in Liberia.
87	4.643071	A black dog stands next to materials at a construction site.	A black dog stands in the middle of a construction site.
88	4.61656	Joe Kernan, who had been lieutenant governor for the past seven years, was sworn in as governor after O'Bannon died Saturday.	Kernan, who was O'Bannon's lieutenant governor, friend and political partner, was sworn in six hours after O'Bannon died Saturday.
89	1.9049606	A woman is exercising.	A man is dancing.
90	4.985561	A man in a top hat rides a white horse.	A man with a top hat riding a white horse.
91	2.8545191	Adding aspirin to the water could kill the plant.	Men are trying to remove oil from a body of water.
92	4.2104774	A few more point to think about:	A few things to think about:
93	3.5611236	In the first case, I think you don't need it.	So I don't think you need to put it on the cover.
94	4.4867873	An oriental lady is cutting a carrot into thin pieces.	A woman is slicing a carrot.
95	3.944683	The support will come as a free software upgrade called WebVPN for current customers that have support contracts.	The upgrade will be available as a free download for current customers with SmarNet support in January 2004.
96	3.489614	You don't need to know everything.	They just don't want you to know it.
97	4.535322	The dog plays in the park.	The dog leaps over the fence in the park.
98	3.4872618	Someone is slicing a onion.	Someone is carrying a fish.
99	4.2762094	A flock of birds hovered over the sandy beach.	Birds are flying at a beach.
100	4.845441	The device plays Internet radio streams and comes with a 30-day trial of RealNetworks' Rhapsody music service.	The product also streams Internet radio and comes with a 30-day free trial for RealNetworks' Rhapsody digital music subscription service.
101	4.6815944	This is not a good idea.	Not a good idea.
102	4.4891195	Reuters witnesses said many houses had been flattened and the city squares were packed with crying children and the homeless, huddled in blankets to protect them from the cold.	Reuters witnesses said public squares were packed with crying children and people left homeless, huddled in blankets to protect them from the cold.
103	2.6762838	The woman is kneeling next to a cat.	A girl is standing next to a man.
104	4.4096355	Beer bottles (-LRB- Harp Lager )-RRB- lined up on the floor.	A row of beer bottles on the floor.
105	4.670792	A boy is playing a key-board.	A little boy is playing a keyboard.
106	3.797538	"My answer to your question is ""Probably Not""."	I think that the short  answer to your question is: No.
107	3.5223162	Two little girls talk on the telephone.	Two couple are talking with each other.
108	4.903083	A black dog running into the water.	A black dog running through water.
109	3.1049256	A woman is slicing an onion.	A woman is slicing lemons.
110	4.041705	A young man wearing a striped shirt is holding two bicycles.	Young redheaded man holding two bicycles near beach.
111	4.768398	A young woman is putting stickers all over her face.	A woman is applying stickers to her face.
112	4.5486817	a small bird sitting on a branch in winter.	A small bird perched on an icy branch.
113	3.1480489	You need to read a lot to know what you like and what you don't.	You have to decide how much you want to demand, and what unmet demands you can live with.
114	3.6632156	A dog is standing in the sand.	A tan dog is standing in front of some plants.
115	4.743666	Does this page answer your question?	Does this answer your questions?
116	4.4265723	A man is standing in front of the window and looking outside.	A man is staring out the window.
117	4.4941783	Only Intel Corp.'s 0.3 percent yield was lower.	Only Intel Corp. has a lower dividend yield.
118	4.268258	A soldier walks a dog.	A man walks a dog.
119	4.521953	Brown and black dogs on snow, showing teeth and barking at each other.	A black dog fighting with a brown dog in the snow.
120	3.1480315	A person is riding a motorcyle.	A person is chopping an onion.
121	3.6910443	This is a very unusual request.	This sounds a bit unusual.
122	4.819289	There is a cook preparing food.	A cook is making food.
123	4.473899	Bremer, 61, is a onetime assistant to former Secretaries of State William P. Rogers and Henry Kissinger and was ambassador-at-large for counterterrorism from 1986 to 1989.	Bremer, 61, is a former assistant to former Secretaries of State William P. Rogers and Henry Kissinger.
124	4.579189	I had the same problem as you.	I have exactly the same problem.
125	4.4633965	The respected medical journal Lancet has called for a complete ban on tobacco in the United Kingdom.	A leading U.K. medical journal called Friday for a complete ban on tobacco, prompting outrage from smokers' groups.
126	4.968913	A man plays a trumpet.	A man is playing the trumpet.
127	4.623299	It depends entirely on your company and your contract.	I guess it depends on the nature of your contract.
128	4.7913427	a close up head of an ostrich.	A close up of an ostrich face.
129	4.221984	A panda bear is chewing on a stick.	A baby panda plays with a stick.
130	3.0246713	A woman is peeling shrimp.	A man is squeezing water.
131	4.7493505	Chaudhry was released 56 days later and the Fiji military installed an all-indigenous government led by Qarase, who won democratic elections in September 2001.	The Fijian military installed an all-indigenous government led by Mr Qarase, who won democratic elections in September 2001.
132	2.750897	A child wearing blue and white shorts is jumping in the surf.	A girl wearing green twists something in her hands.
133	3.8443322	Hope this is what you are looking for.	If what you are looking for is much higher, they get the picture.
134	4.2544465	The new companies will begin trading on Nasdaq today under the ticker symbols PLMO and PSRC.	Also as part of the deal, PalmSource stock will begin trading on the NASDAQ stock market Wednesday under the ticker symbol: PSRC.
135	2.6387393	A man is preparing a snake for cooking.	The man is dropping sliced cucumbers into water.
136	3.670782	You need to read a lot to know what you like and what you don't.	You have to know what you want to do.
137	4.9541836	a dog jumps into the water.	A dog is jumping into the water.
138	3.6310327	A woman is sitting in the water.	The woman is skating in the park.
139	2.0852334	Two men standing in grass staring at a car.	A woman in a pink top posing with beer.
140	4.2478557	A machine is sharpening a pencil.	The machine shaved the end of the pencil.
141	4.521522	A cheetah is running behind its prey.	A cheetah chases prey on across a field.
142	4.9481077	The man is kissing and hugging the woman.	A man is hugging and kissing a woman.
143	4.889009	The Bush administration blames Hussein loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops for the wave of bombings and guerrilla attacks.	The Bush administration blames the wave of bombings and guerrilla attacks on Saddam loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops.
144	4.6205325	Yucaipa owned Dominick's before selling the chain to Safeway in 1998 for $2.5 billion.	Yucaipa bought Dominick's in 1995 for $693 million and sold it to Safeway for $1.8 billion in 1998.
145	4.836828	Group of people posing with two men dressed as Elvis.	A group of people standing with two other people dressed as Elvis.
146	3.5280526	You may have to experiment and find what you like.	You have to find out what works for you.
147	4.2745166	A man is breaking wooden boards with his hand.	A man is breaking tiles with his hands.
148	3.4321675	Ten people riding ATVs.	4 people are riding bikes
149	3.4408257	A man is opening a box and taking out paper.	A woman is peeling a potato.
150	3.663507	If you haven't, you should.	You should, but you don't have to.
151	4.954312	A woman and man are dancing in the rain.	A man and woman are dancing in rain.
152	4.7082987	A man steers a blue boat past brightly colored houses.	a man driving a blue boat passes by some colorful houses.
153	4.0109196	I would look at this: U.S.	I would look at this way: 
154	4.031771	Three boys in karate costumes are fighting.	Three men are practicing karate moves in a field.
155	2.7734663	A man is cutting paper with a sword.	A woman is cutting a tomato.
156	3.0557206	It's all in her head.	It's all about adhesion.
157	4.8195333	There are a total of 659 women enrolled at the academy, the report said.	There were 659 women enrolled at the academy at the time of the survey.
158	4.328344	Parrot pushing a small shopping cart.	A white bird is steering a shopping cart.
159	2.6500878	"We put a lot of effort and energy into improving our patching process, probably later than we should have and now we're just gaining incredible speed.	We've put a lot of effort and energy into improving our patching progress, probably later than we should have."	
160	2.4092088	A woman is pouring egg into a frying pan.	A man is petting two dogs.
161	2.6629844	The man is mixing whipping cream.	The man is holding a skunk.
162	2.3158305	A man in a wet suit is throwing a baby wearing a wet suit up into the air.	A man in a white print shirt and a woman in a black dress dancing.
163	4.1068754	A black and white dog runs through the water.	Black and brown dog runs through field.
164	4.3640404	A man tries to feed a mouse to a snake.	A man is teasing a snake with a mouse.
165	2.3983276	An okapi is eating from a tree.	A moose drinks from a sprinkler.
166	4.197387	Box cutters were used as a weapon by the Sept. 11, 2001, hijackers and have since been banned as carry-on items.	Box cutters were the weapons used by the 19 hijackers in the Sept. 11, 2001, attacks.
167	3.9892392	A man is playing a guitar.	A man is singing while playing the guitar.
168	3.0531878	Large group of people standing outside of a building.	A group of people are ice skating in a big city.
169	4.0894995	Two black dogs are jumping and playing with a yellow tennis ball in the snow.	A brown dog and a black dog playing with a yellow soccer ball.
170	4.187429	A monkey is playing drums.	Someone in a gorilla costume is playing a set of drums.
171	4.5401545	This is not a good idea.	But it is not a good idea.
172	3.7461927	A man eats popcorn while watching cartoons late one night.	A man and a girl are watching cartoons at home
173	4.3282156	There are a few things I think you should do.	There are quite a few things you would need to do;
174	4.401204	A man is cutting pieces of butter into a mixing bowl.	Pieces of butter is added in the stand mixer.
175	3.9475894	A green and white cargo plane taking of from an airport.	White and green commercial airliner taking off of runway.
176	4.35211	A bicycle is parked by a shop.	A bicycle is parked outside a bookstore.
177	4.3604207	I'd say it primarily depends on two things:	I'd say it depends on the ultimate outcome you want?
178	4.5304384	The boy also sprayed the room full of retardant from fire extinguishers, which made it hard to see, the chief said.	The boy fired once into a wall and sprayed the room with fire extinguishers, making it hard to see, the chief said.
179	4.274333	We need to change old habits and seriously rethink business-as-usual.	"He urged employees to ""avoid complacency"" and to ""change old habits and seriously rethink business-as-usual."""
180	3.2607448	A woman riding a brown horse.	A woman taking her own photo from above.
181	4.6644254	A baby panda goes down a slide.	A panda slides down a slide.
182	3.050555	I'm going to be very direct here.	I'm going to be blunt, here: You don't.
183	2.9546678	Small child playing with letter P	2 young girls are sitting in front of a bookcase and 1 is reading a book.
184	3.278051	You are not disclosing key info.	No you are not.
185	2.6348927	A woman is cutting an onion.	A horse is standing.
186	4.8477454	The BlueCore3-Multimedia includes a 16-bit stereo audio CODEC with dual ADC and DAC for stereo audio.	BlueCore3-Multimedia contains an open platform DSP co-processor and also includes a 16-bit stereo audio codec with dual ADC and DAC for stereo audio.
187	3.6078434	I think you've pretty much done your review.	You've pretty much answered your own question.
188	4.8818088	A young person  deep in thought.	A young man deep in thought.
189	4.415197	Through Thursday, Oracle said 34.75 million PeopleSoft shares had been tendered.	Some 34.7 million shares have been tendered, Oracle said in a statement.
190	2.8695827	A steam engine and train moving toward the camera.	A white sheep on a hillside looking at the camera.
191	4.9128327	It's not a good idea.	It is not a good idea.
192	4.765723	Young couple sitting on a black couch.	Young couple sitting on couch.
193	4.0265436	I would personally beware of the Motley Fool.	I would recommend looking at The Motley Fool.
194	3.1703951	There are two possible causes for this:	There are two options for you - 
195	3.357569	Sometime if you really want it you might need to pay an agency to get the place for you.	You could probably get a tour agency to do it for you but it would cost you.
196	4.0874953	A turtle is swimming in water.	A turtle is walking underwater.
197	4.5054584	Bremer said one initiative is to launch a US$70 million nationwide program in the next two weeks to clean up neighborhoods and build community projects.	Bremer said he would launch a $70-million program in the next two weeks to clean up neighborhoods across Iraq and build community projects, but gave no details.
198	4.409624	Bashir felt he was being tried by opinion not on the facts, Mahendradatta told Reuters.	Bashir also felt he was being tried by opinion rather than facts of law, he added.
199	2.7704139	A man dressed in a pale scarf with a stick.	A runner is resting in the shade with a bottle of soda.
200	4.7594857	The rule - When in doubt throw it out!	"I always go by the rule ""When in doubt, throw it out!"
201	3.4078217	Rocky and Apollo Creed are running down the beach.	The men are jogging on the beach.
202	4.1943007	Black and white cow standing near pile of snow.	a black and white cow standing in the field.
203	3.9573336	Navistar shares were down 44 cents, or 1.1 percent, at $41.19 on the New York Stock Exchange after falling as low as $39.93.	Navistar shares rose a penny to $41.64 at late afternoon on the New York Stock Exchange after earlier falling as low as $39.93.
204	3.532577	It depends on what you want to have in your tank.	It depends on what you want to achieve.
205	4.517931	Three goats are being rounded up by a dog.	Three goats are chased by a dog.
206	4.4763846	"Nonetheless, the open-source guru insisted, ""This attack was wrong, and it was dangerous to our goals."""	This attack was wrong, and it was dangerous to our goals, Raymond said.
207	4.727385	It will take time to oust die-hard remnants of Saddam Hussein's deposed regime in Iraq, Defense Secretary Donald H. Rumsfeld said Tuesday.	Defense Secretary Donald H. Rumsfeld said Tuesday it will take time to locate die-hard remnants of Saddam Hussein's deposed regime in Iraq.
208	4.6456676	There's not a lot you can do about that.	I really do not think there is much you can do about that.
209	2.8279548	A man is playing a piano.	A guy is peeling a potato.
210	4.6020417	A man and woman sit at a table in a restaurant.	Four women and two men sit at a long table in a restaurant.
211	4.3247433	A boy is playing the violin onstage.	A boy is playing an instrument.
212	4.8106356	A sheep beside a road and a lake.	A sheep is on the edge of a road with a lake and a mountain in the background.
213	2.6426342	A man is reading an email.	A person opening a banana.
214	3.4074914	"Jeremy's a good guy, Barber said, adding: ""Jeremy is living the dream life of the New York athlete."	"He also said Shockey is ""living the dream life of a New York athlete."
215	4.361675	I have the same thing.	I have had the same problem.
216	4.6760254	A man and a dog on rocks on a beach.	A man and dog on a rocky seashore.
217	2.703123	Dog is jumping down a ramp.	A girls is jumping in the sand.
218	4.3946447	A orange and white cat laying on a blanket in a black leather chair.	A ginger and white cat curled up and asleep on a leather chair.
219	4.5532365	There are three options:	There are only three options:
220	3.8431044	Two dogs play in the grass.	Two tan dogs play in the snow.
221	3.140384	You just have to base your answer on what you do know, which is what you want.	So if that's what you need, you really do have to be explicit about it.
222	4.535138	An empty office cubicle.	An empty office chair in a cubicle.
223	4.5122204	A girl is styling her hair.	A girl is brushing her hair.
224	4.694647	Blue and red plane in mid-air flight.	a blue and red airplane while in flight.
225	4.2954497	You guys are making this all WAAAAAY too complicated.	You are making this too complicated.
226	2.282913	The technology-laced Nasdaq Composite Index .IXIC shed 15 points, or 0.98 percent, to 1,492.	The broader Standard & Poor's 500 Index <.SPX> edged down 9 points, or 0.98 percent, to 921.
227	3.7129288	The meat, poultry, butter, cheese and nuts were impounded a year ago at a LaGrou Cold Storage warehouse in Chicago.	The meat, poultry, butter, cheese and nuts were being stored by more than 100 wholesalers in Chicago.
228	2.5415425	A baby elephant is eating a small tree.	A little girl peddling a scooter.
229	4.4343967	The man is sitting cross legged wearing a cloak and holding a stick.	Man sitting cross legged while wearing a brown cloth and holding a wooden stick.
230	4.5859423	One witness told Anatolian he saw the plane on fire while it was still in the air.	One witness told the Anatolian news agency he saw the plane on fire in mid-air.
231	4.496157	It depends on what they are.	It depends on how it's used.
232	4.137336	Two cats sitting on a couch looking out the window.	A cat looking out of a window.
233	4.095173	A black and white photo of a man driving a car and someone with a motorcycle.	A black and white photo of a man in a classic car and a man with a classic motorcycle.
234	4.5019126	Authorities appealed to the public Friday to come forward and provide what could be the key to solving the sniper-style shootings that have killed three people outside area convenience stores.	Authorities looked to the public yesterday for help in solving the deadly sniper-style shootings of three people outside Charleston-area convenience stores.
235	2.7092404	The kids are at the theater watching a movie.	it is picture day for the boys
236	3.4138772	A man is demonstrating how to work with clay while at least two people observe.	At least one of the three women is talking to the others.
237	3.2585714	I was in a similar situation.	Personally when I was in a similar situation I sent the couple a card and a gift.
238	2.0169034	The girl is carrying a baby.	A man is eating a food.
239	3.5280209	The answer to both questions is: Yes.	If the answer to any of these questions is yes, a PhD may be worthwhile for you.
240	4.1380796	The people are lifting bags.	Several people are carrying large bags.
241	3.3218167	The dollar was at 117.85 yen against the Japanese currency, up 0.1 percent.	Against the Swiss franc the dollar was at 1.3289 francs, up 0.5 percent on the day.
242	3.567622	A man is performing labor.	A man is performing today.
243	4.885895	I've had this same problem.	I had this same problem.
244	4.79549	As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls.	Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls.
245	4.8238187	A person is slicing onions.	Someone is slicing an onion.
246	4.111057	The security official's backup couldn't fill in because he was on active military duty, Strutt said.	The security official's backup was on active duty, and the lottery association didn't have a replacement in New Jersey, Strutt said.
247	4.706605	A boy studies a calendar.	A boy is looking at a calendar.
248	3.3131955	There's not a lot you can do about that.	There's not that much that you can do with a sourdough starter.
249	3.8629227	A car is driven down the road.	A girl is walking down a road.
250	4.6503406	In so many different ways, the artistry of black musicians has conveyed the experience of black Americans throughout our history, Bush said.	Surrounded by singers from Harlem, Bush said: ''The artistry of black musicians has conveyed the experience of black Americans throughout our history.
251	3.5556817	Vivendi shares closed 1.9 percent at 15.80 euros in Paris after falling 3.6 percent on Monday.	In New York, Vivendi shares were 1.4 percent down at $18.29.
252	4.4146194	Shares of McDonald's Corp. and Wendy's International Inc. continued a modest run-up on the New York Stock Exchange Monday.	Shares of McDonald's and Wendy's continued their recent recovery Monday, rising more than 1 percent on the New York Stock Exchange in afternoon trade.
253	4.071392	You have to decide what you want to get out of this.	You have to know what you want to do.
254	4.2835913	Dennehy, who transferred to Baylor last year after getting kicked off the University of New Mexico Lobos for temper tantrums, had begun to read the Bible daily.	Dennehy, who transferred to Baylor last year after getting kicked off the University of New Mexico Lobos for temper tantrums, became a born-again Christian in June 2002.
255	2.5995066	A little boy and a little girl playing together outside.	A woman wearing a white shirt stands on the street.
256	4.4800673	A black dog is jumping out of water.	A black dog is shaking off water.
257	3.1508684	A person is watching people ski down the hill.	The woman is jumping a long distance while people watch.
258	4.4196663	It depends on what you want to do next, and where you want to do it.	I guess it depends on what you're going to do.
259	3.0905185	You can use it, too.	Yes, you can do it.
260	3.8849964	A man is playing the piano.	A man played the guitar.
261	4.327521	Older woman holding newborn baby.	a woman sitting on a sofa holding a baby.
262	3.1866293	A man is opening a door.	A man is cutting an onion.
263	4.280267	Two kids are swimming.	Six kids are going swimming.
264	3.625967	National Breast Cancer Centre chief executive Professor Christine Ewan said it was too early to quantify the risk to women.	National Breast Cancer Centre head Professor Christine Ewan said there was no need for panic.
265	4.679405	Frank Quattrone, the former Credit Suisse First Boston technology investment-banking guru, reportedly pleaded not guilty Tuesday to charges of obstruction of justice and witness tampering.	NEW YORK -(Dow Jones)- Former star investment banker Frank Quattrone pleaded not guilty Tuesday to criminal charges of obstruction of justice and witness tampering.
266	3.597546	Yes, it's probably a good idea to renew your passport.	It's a good idea.
267	4.2133775	"Schools Chancellor Joel Klein said the push for higher standards and accountability ""is showing results."""	Schools Chancellor Joel Klein said he was pleased by the results.
268	4.350398	State health officials said today a young northeast Kansas woman likely has the state's first case of monkeypox among humans or animals.	Health officials confirmed today that a northeast Kansas woman has the state's first case of monkeypox and the first case west of the Mississippi River.
269	3.8852584	The man is using a camera to hammer a nail.	Someone is banging a camera lense against a nail.
270	3.0604005	A young pitcher is throwing the baseball.	A brown dog is walking on the grass beside a fence.
271	4.855136	The man is eating.	A man is eating food.
272	3.3353887	Two children splashing in the water.	Two dolphins jumping into the water.
273	4.9417634	Two zebras play in an open field.	Two zebras are playing in a field.
274	4.966697	Train in a station.	a train in a station.
275	4.794233	A cat is eating some corn.	A cat is eating corn on the cob.
276	4.967762	A red and white bus drives down an England street.	A red and white England bus drives down the street.
277	4.149227	Blue couch and twin bed in a living room.	Blue couch in room with sun shining in.
278	4.193253	Several people on motorcycles in a market square.	People on motorbikes in a city street.
279	4.201908	Two women sitting in chairs in a shop.	Two women are sitting in a cafe.
280	4.363038	He proposed a system under which it would take fewer and fewer votes to overcome a filibuster.	Frist proposed a process in which it would take gradually fewer votes to overcome filibusters preventing final votes on judicial confirmations.
281	3.9688306	Five men jump into a swimming pool.	A group of swimmers fall into a pool.
282	4.100547	I would say you can do it, but it wouldn't be advised.	Personally, I would say not unless it suits you.
283	4.89797	Group of people sitting around a restaurant dining table.	A group of people sitting at a restaurant table.
284	3.806008	Yes, you should mention your experience.	Yes, you should make a résumé.
285	3.7377274	A passenger train waiting at the city train station.	A passenger train with a yellow engine.
286	4.50826	A girl in a riding hat on a horse.	A girl riding a tan horse.
287	3.6117435	Two girls are running.	Three boys are running.
288	3.3304095	A woman peels garlic with her hands.	The woman is slicing herbs.
289	4.711464	A man is playing a musical keyboard.	A man is playing a keyboard piano.
290	4.1527247	Three young women standing in a room together.	Three dark haired young women in white, red and black sweaters.
291	4.7414675	On the cell's surface, the foreign components are recognised by other cells that then realise it is infected and kill it.	The foreign bits are recognized by other cells that realize it is infected and kill it.
292	3.5947287	But HRT should not be used to prevent heart disease or any other chronic condition.	The clear message is it should not be used to prevent cardiovascular disease, Manson said.
293	2.4632924	The cat is sitting on a bag of cat food.	Two eagles sitting on a long branch.
294	4.605613	Some men are sawing.	Men are sawing logs.
295	4.8861	Three children playing on a floor with toys.	Three children sitting in floor playing with several toys.
